Dataset,Porosity,Permeability,Q1 Local Thickness,Mean Local Thickness,Max Local Thickness
Bentheimer,0.25714207175925924,2682.527896278783,4.915197726516593,7.843257620497053,15.19806026287174
Berea,0.2558525462962963,1560.6357078552246,3.9938633574124225,6.36722788122309,13.321025748013778
Berea Buff,0.2592749451754386,3205.2338104248047,5.019228752891855,8.133218946665727,15.445171624298029
Berea Sinter Gray,0.24454764660493827,1596.109155866835,3.904812987304978,6.709057504167685,14.077473495713646
Berea Upper Gray,0.22111516203703702,787.0734439849854,3.8549491762177768,5.866317498549915,12.263678778483943
Castle Gate,0.25118814547720797,1926.2627405019907,4.364062167474264,6.990690188991113,14.195038513080862
Cylindrical Grains,0.4490075717415889,18808.90505521352,7.390844670940026,10.892696471895853,20.18033070246727
Cylindrical Pores,0.49670165509259256,27924.40664026896,13.581577073759473,14.145316390210597,19.228251808087737
Leopard,0.1973812962962963,1384.9059000253678,4.602206608489507,7.838021555603487,15.11102940136514
Spherical Grains,0.33839563802083333,6047.44416385293,5.506758847346879,8.380241936860973,16.331048094514358
Spherical Pores,0.6490899269386574,15433.24265460968,7.4964411615906865,9.907834100049623,14.740362107072878
